date,point,Category,station_names
20000104,POINT (-85.51818 33.33168),2.0,Wedowee
20000104,POINT (-86.16557 34.4448),2.0,Hodges
20000104,POINT (-86.55 34.78333),2.0,AAMU-JTG
20000104,POINT (-86.53333 34.9),1.0,Wtars
20000104,POINT (-87.45618 34.17973),1.0,Sudduth Farms
20000104,POINT (-86.68333 34.43333),1.0,Stanley Farm
20000104,POINT (-87.98685 34.81982),1.0,Isbell Farms
20000104,POINT (-86.79897 34.19492),1.0,Cullman-NAHRC
20000104,POINT (-86.60236 34.89375),1.0,Bragg Farm
20000104,POINT (-85.03693 31.01912),1.0,River Road Farms
20000104,POINT (-86.89137 32.40392),0.0,Selma
20000104,POINT (-87.55277 31.10923),0.0,Perdido Riv Farms
20000104,POINT (-85.91028 32.41222),0.0,Morris Farms
20000104,POINT (-88.19743 32.608),0.0,Livingston-UWA
20000104,POINT (-87.69797 30.5238),0.0,Koptis Farms
20000104,POINT (-88.31003 33.10768),0.0,Dee River Ranch
20000104,POINT (-86.05253 32.28393),0.0,Broad Acres
20000104,POINT (-85.74802 32.43455),0.0,Tuskegee
20000111,POINT (-87.98685 34.81982),1.0,Isbell Farms
20000111,POINT (-86.55 34.78333),1.0,AAMU-JTG
20000111,POINT (-86.60236 34.89375),1.0,Bragg Farm
20000111,POINT (-86.05253 32.28393),1.0,Broad Acres
20000111,POINT (-86.79897 34.19492),1.0,Cullman-NAHRC
20000111,POINT (-88.31003 33.10768),1.0,Dee River Ranch
20000111,POINT (-86.16557 34.4448),1.0,Hodges
20000111,POINT (-88.19743 32.608),1.0,Livingston-UWA
20000111,POINT (-87.55277 31.10923),0.0,Perdido Riv Farms
20000111,POINT (-85.03693 31.01912),1.0,River Road Farms
20000111,POINT (-86.89137 32.40392),1.0,Selma
20000111,POINT (-86.68333 34.43333),1.0,Stanley Farm
20000111,POINT (-87.45618 34.17973),1.0,Sudduth Farms
20000111,POINT (-85.74802 32.43455),1.0,Tuskegee
20000111,POINT (-86.53333 34.9),1.0,Wtars
20000111,POINT (-85.51818 33.33168),2.0,Wedowee
20000111,POINT (-87.69797 30.5238),0.0,Koptis Farms
20000111,POINT (-85.91028 32.41222),1.0,Morris Farms
20000118,POINT (-85.51818 33.33168),2.0,Wedowee
20000118,POINT (-86.53333 34.9),1.0,Wtars
20000118,POINT (-87.55277 31.10923),0.0,Perdido Riv Farms
20000118,POINT (-87.69797 30.5238),0.0,Koptis Farms
20000118,POINT (-86.55 34.78333),1.0,AAMU-JTG
20000118,POINT (-86.60236 34.89375),1.0,Bragg Farm
20000118,POINT (-86.05253 32.28393),1.0,Broad Acres
20000118,POINT (-88.31003 33.10768),1.0,Dee River Ranch
20000118,POINT (-86.16557 34.4448),1.0,Hodges
20000118,POINT (-87.98685 34.81982),1.0,Isbell Farms
20000118,POINT (-86.79897 34.19492),1.0,Cullman-NAHRC
20000118,POINT (-85.91028 32.41222),1.0,Morris Farms
20000118,POINT (-85.03693 31.01912),1.0,River Road Farms
20000118,POINT (-86.89137 32.40392),1.0,Selma
20000118,POINT (-86.68333 34.43333),1.0,Stanley Farm
20000118,POINT (-87.45618 34.17973),1.0,Sudduth Farms
20000118,POINT (-85.74802 32.43455),1.0,Tuskegee
20000118,POINT (-88.19743 32.608),1.0,Livingston-UWA
20000125,POINT (-86.55 34.78333),1.0,AAMU-JTG
20000125,POINT (-85.51818 33.33168),2.0,Wedowee
20000125,POINT (-86.53333 34.9),1.0,Wtars
20000125,POINT (-85.74802 32.43455),1.0,Tuskegee
20000125,POINT (-87.45618 34.17973),1.0,Sudduth Farms
20000125,POINT (-86.68333 34.43333),1.0,Stanley Farm
20000125,POINT (-87.69797 30.5238),0.0,Koptis Farms
20000125,POINT (-86.89137 32.40392),1.0,Selma
20000125,POINT (-87.55277 31.10923),0.0,Perdido Riv Farms
20000125,POINT (-85.91028 32.41222),1.0,Morris Farms
20000125,POINT (-88.19743 32.608),1.0,Livingston-UWA
20000125,POINT (-87.98685 34.81982),1.0,Isbell Farms
20000125,POINT (-86.16557 34.4448),1.0,Hodges
20000125,POINT (-88.31003 33.10768),1.0,Dee River Ranch
20000125,POINT (-86.79897 34.19492),1.0,Cullman-NAHRC
20000125,POINT (-86.60236 34.89375),1.0,Bragg Farm
20000125,POINT (-85.03693 31.01912),1.0,River Road Farms
20000125,POINT (-86.05253 32.28393),1.0,Broad Acres
20000201,POINT (-87.98685 34.81982),1.0,Isbell Farms
20000201,POINT (-85.51818 33.33168),1.0,Wedowee
20000201,POINT (-86.05253 32.28393),0.0,Broad Acres
20000201,POINT (-87.69797 30.5238),0.0,Koptis Farms
20000201,POINT (-85.91028 32.41222),0.0,Morris Farms
20000201,POINT (-87.55277 31.10923),0.0,Perdido Riv Farms
20000201,POINT (-86.89137 32.40392),0.0,Selma
20000201,POINT (-85.74802 32.43455),0.0,Tuskegee
20000201,POINT (-86.53333 34.9),1.0,Wtars
20000201,POINT (-86.55 34.78333),1.0,AAMU-JTG
20000201,POINT (-86.79897 34.19492),1.0,Cullman-NAHRC
20000201,POINT (-88.31003 33.10768),1.0,Dee River Ranch
20000201,POINT (-88.19743 32.608),1.0,Livingston-UWA
20000201,POINT (-85.03693 31.01912),1.0,River Road Farms
20000201,POINT (-86.68333 34.43333),1.0,Stanley Farm
20000201,POINT (-87.45618 34.17973),1.0,Sudduth Farms
20000201,POINT (-86.60236 34.89375),1.0,Bragg Farm
20000201,POINT (-86.16557 34.4448),1.0,Hodges
20000208,POINT (-85.51818 33.33168),1.0,Wedowee
20000208,POINT (-86.05253 32.28393),0.0,Broad Acres
20000208,POINT (-87.69797 30.5238),0.0,Koptis Farms
20000208,POINT (-87.45618 34.17973),1.0,Sudduth Farms
20000208,POINT (-86.53333 34.9),1.0,Wtars
20000208,POINT (-86.68333 34.43333),1.0,Stanley Farm
20000208,POINT (-85.03693 31.01912),1.0,River Road Farms
20000208,POINT (-88.19743 32.608),1.0,Livingston-UWA
20000208,POINT (-87.98685 34.81982),1.0,Isbell Farms
20000208,POINT (-88.31003 33.10768),1.0,Dee River Ranch
20000208,POINT (-86.79897 34.19492),1.0,Cullman-NAHRC
20000208,POINT (-86.16557 34.4448),1.0,Hodges
20000208,POINT (-86.55 34.78333),1.0,AAMU-JTG
20000208,POINT (-85.74802 32.43455),0.0,Tuskegee
20000208,POINT (-86.89137 32.40392),0.0,Selma
20000208,POINT (-87.55277 31.10923),0.0,Perdido Riv Farms
20000208,POINT (-85.91028 32.41222),0.0,Morris Farms
20000208,POINT (-86.60236 34.89375),1.0,Bragg Farm
20000215,POINT (-86.16557 34.4448),1.0,Hodges
20000215,POINT (-86.68333 34.43333),1.0,Stanley Farm
20000215,POINT (-85.03693 31.01912),1.0,River Road Farms
20000215,POINT (-88.19743 32.608),1.0,Livingston-UWA
20000215,POINT (-87.45618 34.17973),1.0,Sudduth Farms
20000215,POINT (-87.98685 34.81982),1.0,Isbell Farms
20000215,POINT (-88.31003 33.10768),1.0,Dee River Ranch
20000215,POINT (-87.69797 30.5238),0.0,Koptis Farms
20000215,POINT (-86.60236 34.89375),1.0,Bragg Farm
20000215,POINT (-86.55 34.78333),1.0,AAMU-JTG
20000215,POINT (-85.74802 32.43455),0.0,Tuskegee
20000215,POINT (-86.89137 32.40392),0.0,Selma
20000215,POINT (-87.55277 31.10923),0.0,Perdido Riv Farms
20000215,POINT (-85.51818 33.33168),1.0,Wedowee
20000215,POINT (-85.91028 32.41222),0.0,Morris Farms
20000215,POINT (-86.79897 34.19492),1.0,Cullman-NAHRC
20000215,POINT (-86.53333 34.9),1.0,Wtars
20000215,POINT (-86.05253 32.28393),0.0,Broad Acres
20000222,POINT (-86.53333 34.9),1.0,Wtars
20000222,POINT (-86.05253 32.28393),0.0,Broad Acres
20000222,POINT (-87.69797 30.5238),0.0,Koptis Farms
20000222,POINT (-85.91028 32.41222),0.0,Morris Farms
20000222,POINT (-87.55277 31.10923),0.0,Perdido Riv Farms
20000222,POINT (-86.89137 32.40392),0.0,Selma
20000222,POINT (-85.74802 32.43455),0.0,Tuskegee
20000222,POINT (-85.51818 33.33168),1.0,Wedowee
20000222,POINT (-86.55 34.78333),1.0,AAMU-JTG
20000222,POINT (-86.79897 34.19492),1.0,Cullman-NAHRC
20000222,POINT (-86.16557 34.4448),1.0,Hodges
20000222,POINT (-87.98685 34.81982),1.0,Isbell Farms
20000222,POINT (-88.19743 32.608),1.0,Livingston-UWA
20000222,POINT (-85.03693 31.01912),1.0,River Road Farms
20000222,POINT (-86.68333 34.43333),1.0,Stanley Farm
20000222,POINT (-87.45618 34.17973),1.0,Sudduth Farms
20000222,POINT (-86.60236 34.89375),1.0,Bragg Farm
20000222,POINT (-88.31003 33.10768),1.0,Dee River Ranch
20000229,POINT (-86.16557 34.4448),2.0,Hodges
20000229,POINT (-85.03693 31.01912),2.0,River Road Farms
20000229,POINT (-87.55277 31.10923),0.0,Perdido Riv Farms
20000229,POINT (-85.51818 33.33168),2.0,Wedowee
20000229,POINT (-86.05253 32.28393),0.0,Broad Acres
20000229,POINT (-87.69797 30.5238),0.0,Koptis Farms
20000229,POINT (-85.91028 32.41222),0.0,Morris Farms
20000229,POINT (-86.89137 32.40392),0.0,Selma
20000229,POINT (-85.74802 32.43455),0.0,Tuskegee
20000229,POINT (-86.60236 34.89375),1.0,Bragg Farm
20000229,POINT (-86.55 34.78333),1.0,AAMU-JTG
20000229,POINT (-88.31003 33.10768),1.0,Dee River Ranch
20000229,POINT (-87.98685 34.81982),1.0,Isbell Farms
20000229,POINT (-88.19743 32.608),1.0,Livingston-UWA
20000229,POINT (-86.68333 34.43333),1.0,Stanley Farm
20000229,POINT (-87.45618 34.17973),1.0,Sudduth Farms
20000229,POINT (-86.53333 34.9),1.0,Wtars
20000229,POINT (-86.79897 34.19492),1.0,Cullman-NAHRC
20000307,POINT (-86.89137 32.40392),0.0,Selma
20000307,POINT (-85.74802 32.43455),0.0,Tuskegee
20000307,POINT (-87.55277 31.10923),0.0,Perdido Riv Farms
20000307,POINT (-86.53333 34.9),2.0,Wtars
20000307,POINT (-87.69797 30.5238),0.0,Koptis Farms
20000307,POINT (-86.05253 32.28393),0.0,Broad Acres
20000307,POINT (-86.79897 34.19492),1.0,Cullman-NAHRC
20000307,POINT (-85.91028 32.41222),0.0,Morris Farms
20000307,POINT (-88.31003 33.10768),1.0,Dee River Ranch
20000307,POINT (-86.16557 34.4448),2.0,Hodges
20000307,POINT (-87.45618 34.17973),1.0,Sudduth Farms
20000307,POINT (-86.55 34.78333),2.0,AAMU-JTG
20000307,POINT (-86.60236 34.89375),2.0,Bragg Farm
20000307,POINT (-87.98685 34.81982),2.0,Isbell Farms
20000307,POINT (-85.03693 31.01912),2.0,River Road Farms
20000307,POINT (-86.68333 34.43333),2.0,Stanley Farm
20000307,POINT (-85.51818 33.33168),2.0,Wedowee
20000307,POINT (-88.19743 32.608),1.0,Livingston-UWA
20000314,POINT (-85.91028 32.41222),1.0,Morris Farms
20000314,POINT (-87.69797 30.5238),1.0,Koptis Farms
20000314,POINT (-86.79897 34.19492),1.0,Cullman-NAHRC
20000314,POINT (-88.31003 33.10768),0.0,Dee River Ranch
20000314,POINT (-86.89137 32.40392),0.0,Selma
20000314,POINT (-88.19743 32.608),0.0,Livingston-UWA
20000314,POINT (-87.55277 31.10923),1.0,Perdido Riv Farms
20000314,POINT (-86.05253 32.28393),1.0,Broad Acres
20000314,POINT (-87.45618 34.17973),1.0,Sudduth Farms
20000314,POINT (-86.53333 34.9),2.0,Wtars
20000314,POINT (-85.51818 33.33168),1.0,Wedowee
20000314,POINT (-86.55 34.78333),2.0,AAMU-JTG
20000314,POINT (-86.60236 34.89375),2.0,Bragg Farm
20000314,POINT (-86.16557 34.4448),2.0,Hodges
20000314,POINT (-87.98685 34.81982),2.0,Isbell Farms
20000314,POINT (-85.03693 31.01912),2.0,River Road Farms
20000314,POINT (-86.68333 34.43333),2.0,Stanley Farm
20000314,POINT (-85.74802 32.43455),1.0,Tuskegee
20000321,POINT (-85.03693 31.01912),2.0,River Road Farms
20000321,POINT (-87.98685 34.81982),2.0,Isbell Farms
20000321,POINT (-86.16557 34.4448),2.0,Hodges
20000321,POINT (-86.60236 34.89375),2.0,Bragg Farm
20000321,POINT (-86.55 34.78333),2.0,AAMU-JTG
20000321,POINT (-85.74802 32.43455),1.0,Tuskegee
20000321,POINT (-87.45618 34.17973),1.0,Sudduth Farms
20000321,POINT (-86.79897 34.19492),1.0,Cullman-NAHRC
20000321,POINT (-85.91028 32.41222),1.0,Morris Farms
20000321,POINT (-87.69797 30.5238),1.0,Koptis Farms
