Station Name,Station Id,Latitude,Longitude,Start Date,SHEF Id,stationTriplet
AAMU-JTG,2057,34.78333,-86.55,2/23/2002,AAMA1,2057:AL:SCAN
Bragg Farm,2078,34.89375,-86.60236,8/25/2003,BRAA1,2078:AL:SCAN
Broad Acres,2177,32.28393,-86.05253,4/12/2010,BDAA1,2177:AL:SCAN
Cullman-NAHRC,2113,34.19492,-86.79897,5/16/2006,CNSA1,2113:AL:SCAN
Dee River Ranch,2174,33.10768,-88.31003,4/9/2010,DEEA1,2174:AL:SCAN
Hodges,2055,34.4448,-86.16557,2/23/2002,HDGA1,2055:AL:SCAN
Isbell Farms,2173,34.81982,-87.98685,4/8/2010,ISBA1,2173:AL:SCAN
Koptis Farms,2180,30.5238,-87.69797,5/7/2010,KOPA1,2180:AL:SCAN
Livingston-UWA,2114,32.608,-88.19743,5/17/2006,LVSA1,2114:AL:SCAN
Morris Farms,2178,32.41222,-85.91028,4/13/2010,MRSA1,2178:AL:SCAN
Perdido Riv Farms,2181,31.10923,-87.55277,5/8/2010,PRDA1,2181:AL:SCAN
River Road Farms,2182,31.01912,-85.03693,5/9/2010,RVRA1,2182:AL:SCAN
Selma,2176,32.40392,-86.89137,4/11/2010,SMAA1,2176:AL:SCAN
Stanley Farm,2056,34.43333,-86.68333,2/23/2002,STAA1,2056:AL:SCAN
Sudduth Farms,2179,34.17973,-87.45618,4/14/2010,SUDA1,2179:AL:SCAN
Tuskegee,2115,32.43455,-85.74802,5/18/2006,TKSA1,2115:AL:SCAN
Wedowee,2175,33.33168,-85.51818,4/10/2010,WEDA1,2175:AL:SCAN
Wtars,2053,34.9,-86.53333,2/4/2002,WTAA1,2053:AL:SCAN
